ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	REACTOME_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ENSG00000121454	LIM homeobox 4(LHX4)	Homo sapiens				GO:0001890~placenta development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0008045~motor neuron axon guidance,GO:0009887~organ morphogenesis,GO:0021526~medial motor column neuron differentiation,GO:0043066~negative regulation of apoptotic process,	GO:0005634~nucleus,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,	IPR001356:Homeodomain,IPR001781:Zinc finger, LIM-type,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,		262700~Pituitary hormone deficiency, combined, 4,			SM00132:LIM,SM00389:HOX,	Chromosomal rearrangement,Complete proteome,Disease mutation,DNA-binding,Dwarfism,Homeobox,LIM domain,Metal-binding,Nucleus,Phosphoprotein,Polymorphism,Proto-oncogene,Reference proteome,Repeat,Transcription,Transcription regulation,Zinc,	chain:LIM/homeobox protein Lhx4,DNA-binding region:Homeobox,domain:LIM zinc-binding 1,domain:LIM zinc-binding 2,sequence conflict,sequence variant,
ENSG00000180834	MAP6 domain containing 1(MAP6D1)	Homo sapiens				GO:0000226~microtubule cytoskeleton organization,GO:0007026~negative regulation of microtubule depolymerization,GO:0018009~N-terminal peptidyl-L-cysteine N-palmitoylation,	GO:0005798~Golgi-associated vesicle,GO:0005801~cis-Golgi network,GO:0005874~microtubule,	GO:0005516~calmodulin binding,GO:0008017~microtubule binding,	IPR007882:STOP/MAP6,						Calmodulin-binding,Complete proteome,Cytoplasm,Cytoskeleton,Golgi apparatus,Lipoprotein,Palmitate,Phosphoprotein,Proteomics identification,Reference proteome,	chain:MAP6 domain-containing protein 1,lipid moiety-binding region:S-palmitoyl cysteine,mutagenesis site,
ENSG00000061676	NCK associated protein 1(NCKAP1)	Homo sapiens		h_actinYPathway:Y branching of actin filaments,		GO:0006915~apoptotic process,GO:0007417~central nervous system development,GO:0010592~positive regulation of lamellipodium assembly,GO:0016032~viral process,GO:0016601~Rac protein signal transduction,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0048010~vascular endothelial growth factor receptor signaling pathway,GO:2000601~positive regulation of Arp2/3 complex-mediated actin nucleation,	GO:0005829~cytosol,GO:0005925~focal adhesion,GO:0016021~integral component of membrane,GO:0031209~SCAR complex,GO:0031258~lamellipodium membrane,GO:0070062~extracellular exosome,	GO:0005515~protein binding,GO:0032403~protein complex binding,GO:0048365~Rac GTPase binding,	IPR019137:Nck-associated protein 1,	hsa04810:Regulation of actin cytoskeleton,			R-HSA-2029482:R-HSA-2029482,R-HSA-4420097:R-HSA-4420097,R-HSA-5663213:R-HSA-5663213,		3D-structure,Acetylation,Alternative splicing,Cell membrane,Cell projection,Complete proteome,Host-virus interaction,Membrane,Reference proteome,Transmembrane,Transmembrane helix,	chain:Nck-associated protein 1,splice variant,transmembrane region,
ENSG00000103494	RPGRIP1 like(RPGRIP1L)	Homo sapiens				GO:0001701~in utero embryonic development,GO:0001736~establishment of planar polarity,GO:0001822~kidney development,GO:0001889~liver development,GO:0007163~establishment or maintenance of cell polarity,GO:0007368~determination of left/right symmetry,GO:0008589~regulation of smoothened signaling pathway,GO:0021532~neural tube patterning,GO:0021549~cerebellum development,GO:0021670~lateral ventricle development,GO:0021772~olfactory bulb development,GO:0022038~corpus callosum development,GO:0035115~embryonic forelimb morphogenesis,GO:0035116~embryonic hindlimb morphogenesis,GO:0042384~cilium assembly,GO:0043010~camera-type eye development,GO:0043584~nose development,GO:0045744~negative regulation of G-protein coupled receptor protein signaling pathway,GO:0060039~pericardium development,GO:0060271~cilium morphogenesis,GO:0090102~cochlea development,	GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005911~cell-cell junction,GO:0005923~bicellular tight junction,GO:0005929~cilium,GO:0005930~axoneme,GO:0035869~ciliary transition zone,GO:0036064~ciliary basal body,	GO:0005515~protein binding,GO:0031870~thromboxane A2 receptor binding,	IPR000008:C2 calcium-dependent membrane targeting,IPR021656:Protein of unknown function DUF3250,		216360~COACH syndrome,611560~Joubert syndrome 7,611561~Meckel syndrome 5,		R-HSA-5610787:R-HSA-5610787,R-HSA-5620912:R-HSA-5620912,	SM00239:C2,	3D-structure,Alternative splicing,Cell junction,Cell projection,Ciliopathy,Cilium,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Disease mutation,Joubert syndrome,Meckel syndrome,Polymorphism,Proteomics identification,Reference proteome,Repeat,Tight junction,	chain:Protein fantom,domain:C2 1,domain:C2 2,helix,sequence conflict,sequence variant,splice variant,strand,
ENSG00000101342	TBC/LysM-associated domain containing 2(TLDC2)	Homo sapiens							IPR006571:TLDc,					SM00584:TLDc,	Complete proteome,Polymorphism,Reference proteome,	chain:Uncharacterized protein C20orf118,compositionally biased region:Poly-Glu,domain:TLD,sequence variant,
ENSG00000204634	TBC1 domain family member 8(TBC1D8)	Homo sapiens				GO:0006886~intracellular protein transport,GO:0008015~blood circulation,GO:0008284~positive regulation of cell proliferation,GO:0031338~regulation of vesicle fusion,GO:0090630~activation of GTPase activity,GO:1902017~regulation of cilium assembly,	GO:0005622~intracellular,GO:0012505~endomembrane system,GO:0016020~membrane,	GO:0005096~GTPase activator activity,GO:0017137~Rab GTPase binding,	IPR000195:Rab-GTPase-TBC domain,IPR004182:GRAM,IPR011992:EF-hand-like domain,					SM00164:TBC,SM00568:GRAM,	Alternative splicing,Coiled coil,Complete proteome,GTPase activation,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:TBC1 domain family member 8,domain:GRAM 1,domain:GRAM 2,domain:Rab-GAP TBC,sequence conflict,sequence variant,splice variant,
ENSG00000170017	activated leukocyte cell adhesion molecule(ALCAM)	Homo sapiens				GO:0002250~adaptive immune response,GO:0007155~cell adhesion,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007165~signal transduction,GO:0008045~motor neuron axon guidance,GO:0031290~retinal ganglion cell axon guidance,GO:0048846~axon extension involved in axon guidance,GO:1990138~neuron projection extension,	GO:0001772~immunological synapse,GO:0005887~integral component of plasma membrane,GO:0005925~focal adhesion,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0031226~intrinsic component of plasma membrane,GO:0042101~T cell receptor complex,GO:0043025~neuronal cell body,GO:0070062~extracellular exosome,	GO:0005102~receptor binding,GO:0005515~protein binding,	IPR003598:Immunoglobulin subtype 2,IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013106:Immunoglobulin V-set,IPR013162:CD80-like, immunoglobulin C2-set,IPR013783:Immunoglobulin-like fold,	hsa04514:Cell adhesion molecules (CAMs),			R-HSA-373760:R-HSA-373760,	SM00406:IGv,SM00408:IGc2,SM00409:IG,	3D-structure,Adaptive immunity,Alternative splicing,Cell adhesion,Cell membrane,Cell projection,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunity,Immunoglobulin domain,Membrane,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:CD166 antigen,disulfide bond,domain:Ig-like C2-type 1,domain:Ig-like C2-type 2,domain:Ig-like C2-type 3,domain:Ig-like V-type 1,domain:Ig-like V-type 2,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000177076	alkaline ceramidase 2(ACER2)	Homo sapiens				GO:0001953~negative regulation of cell-matrix adhesion,GO:0006672~ceramide metabolic process,GO:0006919~activation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0008284~positive regulation of cell proliferation,GO:0010942~positive regulation of cell death,GO:0030148~sphingolipid biosynthetic process,GO:0032526~response to retinoic acid,GO:0033629~negative regulation of cell adhesion mediated by integrin,GO:0035690~cellular response to drug,GO:0046512~sphingosine biosynthetic process,GO:0090285~negative regulation of protein glycosylation in Golgi,	GO:0000139~Golgi membrane,GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,GO:0030173~integral component of Golgi membrane,	GO:0016811~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides,GO:0017040~ceramidase activity,GO:0071633~dihydroceramidase activity,	IPR008901:Ceramidase,	hsa00600:Sphingolipid metabolism,hsa01100:Metabolic pathways,hsa04071:Sphingolipid signaling pathway,			R-HSA-1660661:R-HSA-1660661,		Alternative splicing,Complete proteome,Glycoprotein,Golgi apparatus,Hydrolase,Lipid metabolism,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Alkaline ceramidase 2,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,splice variant,transmembrane region,
ENSG00000155749	amyotrophic lateral sclerosis 2 chromosome region candidate 12(ALS2CR12)	Homo sapiens				GO:0043087~regulation of GTPase activity,	GO:0001520~outer dense fiber,GO:0005737~cytoplasm,GO:0035686~sperm fibrous sheath,	GO:0005515~protein binding,	IPR026674:Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein,						Acetylation,Alternative splicing,Coiled coil,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,	chain:Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 12 protein,modified residue,sequence variant,
ENSG00000239388	ankyrin repeat and SOCS box containing 14(ASB14)	Homo sapiens				GO:0016567~protein ubiquitination,GO:0035556~intracellular signal transduction,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0004842~ubiquitin-protein transferase activity,GO:0031625~ubiquitin protein ligase binding,	IPR001496:SOCS protein, C-terminal,IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				R-HSA-983168:R-HSA-983168,	SM00248:ANK,SM00253:SOCS,SM00969:SM00969,	Alternative splicing,ANK repeat,Complete proteome,Reference proteome,Repeat,Signal,	chain:Ankyrin repeat and SOCS box protein 14,domain:SOCS box,repeat:ANK 1,repeat:ANK 10,repeat:ANK 11,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,repeat:ANK 7,repeat:ANK 8,repeat:ANK 9,splice variant,
ENSG00000145700	ankyrin repeat domain 31(ANKRD31)	Homo sapiens							IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,					SM00248:ANK,	ANK repeat,Complete proteome,Polymorphism,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 31,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence conflict,sequence variant,
ENSG00000116985	bone morphogenetic protein 8b(BMP8B)	Homo sapiens				GO:0001501~skeletal system development,GO:0001503~ossification,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0030509~BMP signaling pathway,GO:0040007~growth,GO:0042981~regulation of apoptotic process,GO:0043408~regulation of MAPK cascade,GO:0048468~cell development,GO:0051216~cartilage development,GO:0060395~SMAD protein signal transduction,	GO:0005615~extracellular space,	GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0008083~growth factor activity,GO:0070700~BMP receptor binding,	IPR001111:Transforming growth factor-beta, N-terminal,IPR001839:Transforming growth factor-beta, C-terminal,IPR002405:Inhibin, alpha subunit,IPR015615:Transforming growth factor-beta-related,IPR017948:Transforming growth factor beta, conserved site,	hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,				SM00204:TGFB,	Alternative splicing,Chondrogenesis,Complete proteome,Cytokine,Developmental protein,Differentiation,Disulfide bond,Glycoprotein,Growth factor,Osteogenesis,Polymorphism,Reference proteome,Secreted,Signal,	chain:Bone morphogenetic protein 8B,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,
ENSG00000180881	calcyphosine 2(CAPS2)	Homo sapiens						GO:0005509~calcium ion binding,	IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,					SM00054:EFh,	Alternative splicing,Calcium,Complete proteome,Metal-binding,Polymorphism,Reference proteome,Repeat,	calcium-binding region:1,calcium-binding region:2,calcium-binding region:3,chain:Calcyphosin-2,domain:EF-hand 1,domain:EF-hand 2,domain:EF-hand 3,sequence conflict,sequence variant,splice variant,
ENSG00000103888	cell migration inducing hyaluronan binding protein(CEMIP)	Homo sapiens				GO:0007605~sensory perception of sound,GO:0010800~positive regulation of peptidyl-threonine phosphorylation,GO:0030213~hyaluronan biosynthetic process,GO:0030214~hyaluronan catabolic process,GO:0030335~positive regulation of cell migration,GO:0051281~positive regulation of release of sequestered calcium ion into cytosol,GO:0090314~positive regulation of protein targeting to membrane,GO:1900020~positive regulation of protein kinase C activity,	GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005905~clathrin-coated pit,GO:0030665~clathrin-coated vesicle membrane,	GO:0004415~hyalurononglucosaminidase activity,GO:0005515~protein binding,GO:0005540~hyaluronic acid binding,GO:0032050~clathrin heavy chain binding,GO:0046923~ER retention sequence binding,	IPR011050:Pectin lyase fold/virulence factor,IPR012334:Pectin lyase fold,IPR019316:G8 domain,IPR025155:WxxW domain,				R-HSA-2142850:R-HSA-2142850,	SM01225:SM01225,	Alternative splicing,Cell membrane,Coated pit,Complete proteome,Cytoplasm,Endoplasmic reticulum,Glycoprotein,Glycosidase,Hyaluronic acid,Hydrolase,Membrane,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Protein KIAA1199,glycosylation site:N-linked (GlcNAc...),modified residue,repeat:PbH1 1,repeat:PbH1 2,repeat:PbH1 3,repeat:PbH1 4,sequence conflict,sequence variant,signal peptide,splice variant,
ENSG00000166446	chromodomain Y-like 2(CDYL2)	Homo sapiens			Lipid metabolism,	GO:0008152~metabolic process,	GO:0005634~nucleus,	GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0035064~methylated histone binding,	IPR000953:Chromo domain/shadow,IPR001753:Crotonase superfamily,IPR016197:Chromo domain-like,IPR023779:Chromo domain, conserved site,IPR023780:Chromo domain,					SM00298:CHROMO,	3D-structure,Complete proteome,Nucleus,Proteomics identification,Reference proteome,	chain:Chromodomain Y-like protein 2,domain:Chromo,sequence conflict,
ENSG00000188277	chromosome 15 open reading frame 62(C15orf62)	Homo sapiens				GO:0007266~Rho protein signal transduction,GO:0008360~regulation of cell shape,GO:0030838~positive regulation of actin filament polymerization,GO:0031274~positive regulation of pseudopodium assembly,GO:0043547~positive regulation of GTPase activity,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005886~plasma membrane,	GO:0005096~GTPase activator activity,GO:0017049~GTP-Rho binding,							Complete proteome,Mitochondrion,Reference proteome,Transit peptide,	chain:Uncharacterized protein C15orf62, mitochondrial,transit peptide:Mitochondrion,
ENSG00000187699	chromosome 2 open reading frame 88(C2orf88)	Homo sapiens					GO:0005654~nucleoplasm,GO:0005886~plasma membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005515~protein binding,GO:0034237~protein kinase A regulatory subunit binding,							3D-structure,Cell membrane,Complete proteome,Direct protein sequencing,Lipoprotein,Membrane,Myristate,Palmitate,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Uncharacterized protein FLJ90687,chain:UPF0733 protein C2orf88,lipid moiety-binding region:N-myristoyl glycine,modified residue,sequence variant,signal peptide,
ENSG00000234511	chromosome 5 open reading frame 58(C5orf58)	Homo sapiens													Complete proteome,Reference proteome,
ENSG00000130783	coiled-coil domain containing 62(CCDC62)	Homo sapiens				GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0071392~cellular response to estradiol stimulus,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005886~plasma membrane,	GO:0030331~estrogen receptor binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,							Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Nucleus,Polymorphism,Reference proteome,Repeat,	chain:Coiled-coil domain-containing protein 60,sequence conflict,sequence variant,splice variant,
ENSG00000106804	complement C5(C5)	Homo sapiens		h_alternativePathway:Alternative Complement Pathway,h_classicPathway:Classical Complement Pathway,h_compPathway:Complement Pathway,h_granulocytesPathway:Adhesion and Diapedesis of Granulocytes,h_LairPathway:Cells and Molecules involved in local acute inflammatory response,h_lectinPathway:Lectin Induced Complement Pathway,		GO:0000187~activation of MAPK activity,GO:0001701~in utero embryonic development,GO:0006935~chemotaxis,GO:0006950~response to stress,GO:0006954~inflammatory response,GO:0006956~complement activation,GO:0006957~complement activation, alternative pathway,GO:0006958~complement activation, classical pathway,GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0010575~positive regulation of vascular endothelial growth factor production,GO:0010760~negative regulation of macrophage chemotaxis,GO:0010951~negative regulation of endopeptidase activity,GO:0019835~cytolysis,GO:0030449~regulation of complement activation,GO:0045766~positive regulation of angiogenesis,GO:0060326~cell chemotaxis,GO:0090197~positive regulation of chemokine secretion,	GO:0005576~extracellular region,GO:0005579~membrane attack complex,GO:0005615~extracellular space,GO:0070062~extracellular exosome,	GO:0004866~endopeptidase inhibitor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008009~chemokine activity,	IPR000020:Anaphylatoxin/fibulin,IPR001134:Netrin domain,IPR001599:Alpha-2-macroglobulin,IPR001840:Complement C3a/C4a/C5a anaphylatoxin,IPR002890:Alpha-2-macroglobulin, N-terminal,IPR008930:Terpenoid cyclases/protein prenyltransferase alpha-alpha toroid,IPR008993:Tissue inhibitor of metalloproteinases-like, OB-fold,IPR009048:Alpha-macroglobulin, receptor-binding,IPR011625:Alpha-2-macroglobulin, N-terminal 2,IPR011626:A-macroglobulin complement component,IPR018081:Anaphylatoxin,IPR018933:Netrin module, non-TIMP type,	hsa04610:Complement and coagulation cascades,hsa05020:Prion diseases,hsa05133:Pertussis,hsa05150:Staphylococcus aureus infection,hsa05168:Herpes simplex infection,hsa05322:Systemic lupus erythematosus,	609536~C5 deficiency,615749~Eculizumab, poor response to,		R-HSA-166665:R-HSA-166665,R-HSA-174577:R-HSA-174577,R-HSA-375276:R-HSA-375276,R-HSA-418594:R-HSA-418594,R-HSA-977606:R-HSA-977606,	SM00104:ANATO,SM00643:C345C,SM01359:SM01359,SM01360:SM01360,SM01361:SM01361,	3D-structure,Cleavage on pair of basic residues,Complement alternate pathway,Complement pathway,Complete proteome,Cytolysis,Direct protein sequencing,Disulfide bond,Glycoprotein,Immunity,Inflammatory response,Innate immunity,Membrane attack complex,Polymorphism,Reference proteome,Secreted,Signal,	chain:C5a anaphylatoxin,chain:Complement C5 alpha chain,chain:Complement C5 alpha' chain,chain:Complement C5 beta chain,disulfide bond,domain:Anaphylatoxin-like,domain:NTR,glycosylation site:N-linked (GlcNAc...),helix,sequence variant,signal peptide,strand,turn,
ENSG00000080200	crystallin beta-gamma domain containing 3(CRYBG3)	Homo sapiens						GO:0030246~carbohydrate binding,	IPR000772:Ricin B lectin domain,IPR001064:Beta/gamma crystallin,IPR011024:Gamma-crystallin-related,					SM00247:XTALbg,SM00458:RICIN,	Alternative splicing,Complete proteome,Lectin,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Beta/gamma crystallin domain-containing protein 3,domain:Beta/gamma crystallin 'Greek key' 1,domain:Beta/gamma crystallin 'Greek key' 2,domain:Beta/gamma crystallin 'Greek key' 3,domain:Beta/gamma crystallin 'Greek key' 4,domain:Beta/gamma crystallin 'Greek key' 5,domain:Beta/gamma crystallin 'Greek key' 6,domain:Beta/gamma crystallin 'Greek key' 7,domain:Beta/gamma crystallin 'Greek key' 8,domain:Beta/gamma crystallin 'Greek key' 9,domain:Ricin B-type lectin,sequence conflict,sequence variant,splice variant,
ENSG00000008086	cyclin dependent kinase like 5(CDKL5)	Homo sapiens				GO:0001764~neuron migration,GO:0006468~protein phosphorylation,GO:0043547~positive regulation of GTPase activity,GO:0045773~positive regulation of axon extension,GO:0046777~protein autophosphorylation,GO:0050773~regulation of dendrite development,GO:0050775~positive regulation of dendrite morphogenesis,GO:0051726~regulation of cell cycle,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0032587~ruffle membrane,GO:0032839~dendrite cytoplasm,GO:0044294~dendritic growth cone,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004693~cyclin-dependent protein serine/threonine kinase activity,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0048365~Rac GTPase binding,	IPR000719:Protein kinase, catalytic domain,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,		300672~Epileptic encephalopathy, early infantile, 2,			SM00220:S_TKc,	3D-structure,Alternative splicing,ATP-binding,Chromosomal rearrangement,Complete proteome,Disease mutation,Epilepsy,Kinase,Mental retardation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Transferase,	active site:Proton acceptor,binding site:ATP,chain:Cyclin-dependent kinase-like 5,compositionally biased region:Poly-Lys,domain:Protein kinase,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,
ENSG00000188215	defective in cullin neddylation 1 domain containing 3(DCUN1D3)	Homo sapiens				GO:0010225~response to UV-C,GO:0010332~response to gamma radiation,GO:0030308~negative regulation of cell growth,GO:0043065~positive regulation of apoptotic process,GO:0045116~protein neddylation,GO:0051443~positive regulation of ubiquitin-protein transferase activity,	GO:0000151~ubiquitin ligase complex,GO:0005886~plasma membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0031624~ubiquitin conjugating enzyme binding,GO:0032182~ubiquitin-like protein binding,GO:0097602~cullin family protein binding,	IPR005176:Potentiating neddylation domain,IPR014764:Defective-in-cullin neddylation protein,						3D-structure,Cell membrane,Complete proteome,Lipoprotein,Membrane,Myristate,Polymorphism,Reference proteome,	chain:DCN1-like protein 3,domain:DCUN1,
ENSG00000178904	dpy-19 like 3 (C. elegans)(DPY19L3)	Homo sapiens				GO:0018406~protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan,	GO:0005637~nuclear inner membrane,GO:0016021~integral component of membrane,	GO:0000030~mannosyltransferase activity,	IPR018732:Dpy-19,						Alternative splicing,Complete proteome,Glycosyltransferase,Membrane,Polymorphism,Proteomics identification,Reference proteome,Transferase,Transmembrane,Transmembrane helix,	chain:Protein dpy-19 homolog 3,sequence conflict,sequence variant,splice variant,transmembrane region,
ENSG00000198018	ectonucleoside triphosphate diphosphohydrolase 7(ENTPD7)	Homo sapiens					GO:0016021~integral component of membrane,GO:0030659~cytoplasmic vesicle membrane,	GO:0016787~hydrolase activity,GO:0046872~metal ion binding,	IPR000407:Nucleoside phosphatase GDA1/CD39,						Calcium,Complete proteome,Cytoplasmic vesicle,Disulfide bond,Glycoprotein,Hydrolase,Magnesium,Membrane,Metal-binding,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Ectonucleoside triphosphate diphosphohydrolase 7,glycosylation site:N-linked (GlcNAc...),sequence variant,topological domain:Cytoplasmic,topological domain:Vesicular,transmembrane region,
ENSG00000038358	enhancer of mRNA decapping 4(EDC4)	Homo sapiens				GO:0043928~exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay,	GO:0000932~cytoplasmic mRNA processing body,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005515~protein binding,	IPR001680:WD40 repeat,IPR015943:WD40/YVTN repeat-like-containing domain,IPR017986:WD40-repeat-containing domain,	hsa03018:RNA degradation,			R-HSA-430039:R-HSA-430039,	SM00320:WD40,	Acetylation,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,WD repeat,	chain:Enhancer of mRNA-decapping protein 4,compositionally biased region:Ser-rich,modified residue,region of interest:Sufficient for nuclear localization,repeat:WD 1,repeat:WD 2,repeat:WD 3,repeat:WD 4,sequence conflict,splice variant,
ENSG00000167695	family with sequence similarity 57 member A(FAM57A)	Homo sapiens					GO:0005886~plasma membrane,GO:0016021~integral component of membrane,		IPR006634:TRAM/LAG1/CLN8 homology domain,					SM00724:TLC,	Alternative splicing,Cell membrane,Complete proteome,Membrane,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Protein FAM57A,domain:TLC,sequence conflict,splice variant,transmembrane region,
ENSG00000170271	fatty acid hydroxylase domain containing 2(FAXDC2)	Homo sapiens				GO:0006633~fatty acid biosynthetic process,GO:0016126~sterol biosynthetic process,GO:0055114~oxidation-reduction process,	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0000254~C-4 methylsterol oxidase activity,GO:0005506~iron ion binding,	IPR006694:Fatty acid hydroxylase,	hsa00100:Steroid biosynthesis,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,					Alternative splicing,Complete proteome,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Uncharacterized protein C5orf4,modified residue,sequence variant,transmembrane region,
ENSG00000157827	formin like 2(FMNL2)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0022604~regulation of cell morphogenesis,GO:0030866~cortical actin cytoskeleton organization,GO:0098609~cell-cell adhesion,	GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,	GO:0003779~actin binding,GO:0017048~Rho GTPase binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR010472:Diaphanous FH3,IPR010473:Diaphanous GTPase-binding,IPR014767:Diaphanous autoregulatory,IPR014768:GTPase-binding/formin homology 3,IPR015425:Actin-binding FH2,IPR016024:Armadillo-type fold,IPR017987:Wilm's tumour protein,				R-HSA-5663220:R-HSA-5663220,	SM00498:FH2,SM01139:SM01139,SM01140:SM01140,	3D-structure,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Lipoprotein,Myristate,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Formin-like protein 2,compositionally biased region:Pro-rich,domain:DAD,domain:FH2,domain:GBD/FH3,modified residue,sequence conflict,sequence variant,splice variant,
